lr-AdamW,step,valid/recon/sess0,valid/loss,valid/recon,valid/bps,valid/co_bps,valid/fp_bps,valid/r2,valid/wt_l2,valid/wt_l2/ramp,valid/wt_kl,valid/wt_kl/ic,valid/wt_kl/co,valid/wt_kl/ramp,valid/recon_smth,hp_metric,cur_epoch,hp/lr_init,hp/dropout_rate,hp/l2_ic_enc_scale,hp/l2_ci_enc_scale,hp/l2_gen_scale,hp/l2_con_scale,hp/kl_co_scale,hp/kl_ic_scale,hp/weight_decay,hp/cd_rate,epoch,train/recon/sess0,train/loss,train/recon,train/bps,train/co_bps,train/fp_bps,train/r2,train/wt_l2,train/wt_l2/ramp,train/wt_kl,train/wt_kl/ic,train/wt_kl/co,train/wt_kl/ramp
0.004,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,0.19338612258434296,1933.9180908203125,0.19338612258434296,0.24319685995578766,nan,nan,nan,0.0,0.3086419701576233,1.848786268965341e-05,9.13442545424914e-06,9.353435416414868e-06,0.3086419701576233,0.19351132214069366,0.19338612258434296,24.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,24,,,,,,,,,,,,,
,149,,,,,,,,,,,,,,,,,,,,,,,,,,,25,0.19458813965320587,1945.9412841796875,0.19458813965320587,0.20558182895183563,nan,nan,nan,0.0,0.3086419403553009,1.939677713380661e-05,9.935288289852906e-06,9.461487024964299e-06,0.3086419403553009
0.004,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,155,0.19293704628944397,1929.4307861328125,0.19293704628944397,0.2541011571884155,nan,nan,nan,0.0,0.32098764181137085,1.8777493096422404e-05,9.228216185874771e-06,9.549276001052931e-06,0.32098764181137085,0.19310933351516724,0.19293704628944397,25.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,25,,,,,,,,,,,,,
,155,,,,,,,,,,,,,,,,,,,,,,,,,,,26,0.19419248402118683,1941.9888916015625,0.19419248402118683,0.21034926176071167,nan,nan,nan,0.0,0.32098767161369324,1.9907820387743413e-05,1.0274389751430135e-05,9.633432455302682e-06,0.32098767161369324
0.004,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,161,0.19280359148979187,1928.1014404296875,0.19280359148979187,0.2573905885219574,nan,nan,nan,0.0,0.3333333432674408,1.9671060726977885e-05,9.739304914546665e-06,9.931757631420624e-06,0.3333333432674408,0.1928953230381012,0.19280359148979187,26.0,0.004000000189989805,0.30000001192092896,0.0,0.0,0.0,0.0,1.0000000116860974e-07,1.0000000116860974e-07,0.0,0.30000001192092896,26,,,,,,,,,,,,,
,161,,,,,,,,,,,,,,,,,,,,,,,,,,,27,0.19385546445846558,1938.6226806640625,0.19385546445846558,0.21767973899841309,nan,nan,nan,0.0,0.3333333432674408,2.0423531168489717e-05,1.0489443411643151e-05,9.934085937857162e-06,0.3333333432674408
0.004,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
